name,country,subcountry,geonameid
Chegutu,Zimbabwe,Mashonaland West,894239
Bulawayo,Zimbabwe,Bulawayo,894701
Bindura,Zimbabwe,Mashonaland Central,895061
Beitbridge,Zimbabwe,Matabeleland South,895269
Epworth,Zimbabwe,Harare,1085510
Chitungwiza,Zimbabwe,Harare,1106542
Dibba Al-Fujairah,United Arab Emirates,Al Fujayrah,292231
Dibba Al-Hisn,United Arab Emirates,Al Fujayrah,292239
Sharjah,United Arab Emirates,Ash Shāriqah,292672
Ar Ruways,United Arab Emirates,Abu Dhabi,292688
Nahrīn,Afghanistan,Wilāyat-e Baghlān,1132495
Maymana,Afghanistan,Faryab,1133453
Mehtar Lām,Afghanistan,Laghmān,1133574
Mazār-e Sharīf,Afghanistan,Balkh,1133616
Lashkar Gāh,Afghanistan,Helmand,1134720
Kushk,Afghanistan,Herat,1135158
Kunduz,Afghanistan,Kunduz,1135689
Khōst,Afghanistan,Khowst,1136469
Khulm,Afghanistan,Balkh,1136575
Cotoca,Bolivia,Santa Cruz,3918937
Cochabamba,Bolivia,Cochabamba,3919968
Cobija,Bolivia,Pando,3919998
Camiri,Bolivia,Santa Cruz,3922414
Kralendijk,"Bonaire, Saint Eustatius and Saba ",Bonaire,3513563
Vitória do Mearim,Brazil,Maranhão,3384986
Vitória de Santo Antão,Brazil,Pernambuco,3384987
Viseu,Brazil,Pará,3385022
Conde,Brazil,Paraíba,3385077
Vigia,Brazil,Pará,3385088
Viçosa do Ceará,Brazil,Ceará,3385106
Viçosa,Brazil,Alagoas,3385109
Viana,Brazil,Maranhão,3385122
Várzea Alegre,Brazil,Ceará,3385467